,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,batemans bay,0,AU,1551053105,80,-35.71,150.18,69.38,2.84
279,trairi,48,BR,1551053106,100,-3.28,-39.27,79.42,2.51
280,savelugu,0,GH,1551053107,41,9.63,-0.83,70.96,1.95
281,ambilobe,92,MG,1551053108,100,-13.19,49.05,70.1,1.95
282,lovozero,92,RU,1551053108,97,68.01,35.02,30.86,5.41
283,lorengau,12,PG,1551053109,96,-2.02,147.27,83.11,4.97
284,quelimane,0,MZ,1551049200,88,-17.88,36.89,77.0,6.42
285,huangmei,44,CN,1551053109,100,30.1,115.95,39.41,2.95
286,qingdao,12,CN,1551049200,88,36.09,120.35,32.0,4.47
287,surt,56,LY,1551053111,100,31.21,16.59,51.11,11.79
288,adrar,0,DZ,1551049200,28,27.87,-0.29,55.4,14.99
289,namatanai,36,PG,1551053112,94,-3.66,152.44,84.46,5.75
290,nitra,20,SK,1551051000,61,48.31,18.09,39.2,2.24
291,rauma,0,FI,1551050400,64,61.13,21.5,39.2,23.04
292,salalah,75,OM,1551048600,78,17.01,54.1,75.2,3.36
293,igarka,76,RU,1551053114,75,67.47,86.57,7.06,9.22
294,buy,80,RU,1551053115,96,58.48,41.53,30.5,11.79
295,plouzane,90,FR,1551051000,93,48.38,-4.62,48.2,2.24
296,aquiraz,0,BR,1551049200,83,-3.9,-38.39,78.8,2.84
297,sumbe,92,AO,1551053116,100,-11.2,13.84,79.42,6.98
298,matiari,0,PK,1551053117,82,25.6,68.45,57.14,2.95
299,melita,24,CA,1551053117,76,49.27,-100.98,-4.47,11.45
300,casas grandes,0,MX,1551053118,30,30.15,-110.24,63.67,2.17
301,saint-louis,0,CH,1551052200,79,47.59,7.56,41.0,1.12
302,airai,12,TL,1551053041,80,-8.93,125.41,77.66,0.94
303,vikhorevka,0,RU,1551051000,92,56.12,101.17,15.8,2.73
304,hasaki,75,JP,1551051780,81,35.73,140.83,53.6,8.05
305,galle,1,US,1551051300,34,29.74,-97.91,64.4,3.36
306,luhyny,20,UA,1551053120,88,51.08,28.4,28.57,11.79
307,kangaatsiaq,64,GL,1551053120,100,68.31,-53.46,14.89,11.68
308,statesboro,1,US,1551051300,28,32.45,-81.78,71.6,13.87
309,alyangula,76,AU,1551049200,70,-13.85,136.42,87.8,5.82
310,baruun-urt,0,MN,1551053122,63,46.68,113.28,6.83,7.76
311,beringovskiy,36,RU,1551053122,86,63.05,179.32,27.08,15.59
312,babu,36,CN,1551053123,87,23.23,104.89,46.48,2.39
313,santa rosa,88,AR,1551053124,22,-36.62,-64.29,69.43,15.37
314,bereda,0,ES,1551051000,87,43.27,-7.54,50.0,6.93
315,jaisalmer,20,IN,1551053125,59,26.91,70.91,52.33,4.29
316,porto novo,40,BR,1551049200,58,-23.68,-45.44,86.0,3.36
317,nantucket,90,US,1551051540,100,41.28,-70.1,44.6,12.75
318,santa maria,75,BR,1551049200,83,-29.69,-53.81,75.2,2.24
319,antofagasta,0,CL,1551049200,64,-23.65,-70.4,69.8,10.29
320,mildura,44,AU,1551049200,28,-34.18,142.16,80.6,13.87
321,tarifa,0,ES,1551051000,62,36.01,-5.6,59.0,23.04
322,hohhot,20,CN,1551049200,45,40.81,111.65,26.6,4.47
323,big rapids,90,US,1551051360,92,43.7,-85.48,26.6,18.34
324,vao,0,EE,1551053130,80,59.1,26.19,34.78,13.47
325,sitka,48,US,1551053130,59,37.17,-99.65,44.09,7.99
326,cabedelo,0,BR,1551049200,83,-6.97,-34.84,80.6,3.36
327,boa esperanca,56,BR,1551053131,78,-1.91,-60.0,78.65,3.96
328,kirovskiy,36,RU,1551053132,49,45.09,133.51,26.45,4.18
329,guanare,0,VE,1551053133,64,9.04,-69.74,78.56,4.41
330,drezdenko,0,PL,1551053134,77,52.84,15.83,29.83,6.98
331,port hardy,20,CA,1551049200,52,50.7,-127.42,42.8,5.82
332,bismarck,20,US,1551051300,64,46.81,-100.78,-0.41,17.22
333,dire dawa,0,ET,1551053135,85,9.59,41.86,53.77,2.28
334,ouesso,68,CG,1551053135,92,1.61,16.05,74.6,2.62
335,mount isa,12,AU,1551051000,54,-20.73,139.49,84.2,10.29
336,tibacuy,75,CO,1551049200,72,4.35,-74.45,59.0,8.05
337,bartica,20,GY,1551049200,73,6.41,-58.62,77.0,6.93
338,taltal,0,CL,1551052956,77,-25.41,-70.49,63.08,2.39
339,forest grove,1,US,1551051300,70,45.52,-123.11,44.6,4.7
340,doka,0,SD,1551053138,30,13.52,35.76,78.88,11.56
341,bjornevatn,75,NO,1551050400,84,69.67,29.98,35.6,21.92
342,leland,20,US,1551052320,67,41.61,-88.8,24.8,27.51
343,eyl,48,SO,1551052867,100,7.98,49.82,75.64,15.03
344,caravelas,0,BR,1551053139,99,-17.73,-39.27,84.05,16.04
345,waipawa,92,NZ,1551053040,93,-39.94,176.59,53.9,15.82
346,kargopol,92,RU,1551053141,96,61.51,38.95,32.48,10.0
347,qasigiannguit,48,GL,1551048600,56,68.82,-51.19,12.2,5.82
348,clonakilty,75,IE,1551051000,100,51.62,-8.87,46.4,13.87
349,maceio,0,BR,1551049200,83,-9.67,-35.74,78.8,4.7
350,gobabis,68,NA,1551053142,23,-22.45,18.97,74.96,11.34
351,shingu,20,JP,1551049200,76,33.72,135.99,50.0,6.93
352,komsomolskiy,92,RU,1551053143,78,67.55,63.78,14.93,7.2
353,ahipara,8,NZ,1551052798,76,-35.17,173.16,68.08,23.87
354,fehervarcsurgo,0,HU,1551050100,74,47.29,18.26,32.0,2.24
355,jalu,0,LY,1551053002,80,29.03,21.55,47.6,6.76
356,mugango,76,TZ,1551053145,100,-1.69,33.7,68.3,4.52
357,gustavo diaz ordaz,75,MX,1551048780,6,24.01,-104.69,75.2,5.82
358,piranhas,56,BR,1551053146,67,-9.61,-37.76,80.68,5.64
359,nome,1,US,1551051300,22,30.04,-94.42,69.8,8.05
360,pimenteiras,80,BR,1551053147,95,-6.24,-41.42,72.76,2.73
361,levelland,75,US,1551048780,19,33.59,-102.38,55.4,20.8
362,lindi,8,TZ,1551053147,95,-10.0,39.71,72.53,2.28
363,shaunavon,0,CA,1551053148,61,49.65,-108.41,-1.18,5.86
364,oranjemund,32,ZA,1551053148,96,-28.55,16.43,62.99,18.5
365,ocos,40,GT,1551049200,66,14.51,-92.19,87.8,6.93
366,mayumba,76,GA,1551053149,97,-3.44,10.65,80.18,4.41
367,mumford,12,GH,1551053149,88,5.26,-0.76,80.59,10.67
368,palmer,0,AU,1551049200,15,-34.85,139.16,87.8,11.41
369,te anau,0,NZ,1551052877,51,-45.41,167.72,53.32,2.95
370,mushie,36,CD,1551053150,91,-3.02,16.92,77.71,1.61
371,homer,40,US,1551052380,51,59.64,-151.54,39.2,8.05
372,leo,0,BF,1551053151,21,11.1,-2.1,71.0,9.22
373,jelenia gora,0,PL,1551053152,70,50.9,15.73,25.96,4.41
374,kilindoni,0,TZ,1551053152,100,-7.91,39.67,83.11,8.66
375,grand gaube,75,MU,1551049200,83,-20.01,57.66,80.6,4.7
376,hare bay,5,CA,1551049200,50,48.86,-53.99,8.6,11.41
377,amzya,80,RU,1551053154,83,56.24,54.39,14.26,5.64
378,perth,90,GB,1551052200,100,56.4,-3.43,39.2,5.82
379,nhulunbuy,40,AU,1551051000,62,-12.18,136.78,87.8,8.05
380,gualaceo,90,EC,1551049200,63,-2.89,-78.78,66.2,9.17
381,port blair,0,IN,1551053156,100,11.67,92.75,81.04,5.19
382,hof,1,DE,1551048960,68,50.32,11.92,26.6,2.62
383,san patricio,48,PY,1551053158,94,-26.98,-56.83,74.78,4.07
384,lompoc,1,US,1551049080,55,34.64,-120.46,60.8,16.11
385,show low,1,US,1551051300,50,34.25,-110.03,35.6,6.93
386,yura,75,PE,1551049200,67,-16.25,-71.68,59.0,11.41
387,kommunar,40,RU,1551051000,81,59.62,30.39,35.6,13.42
388,yulara,0,AU,1551049200,14,-25.24,130.99,84.2,12.75
389,banjar,8,ID,1551052983,93,-7.37,108.54,73.84,3.06
390,cubara,0,CO,1551053162,77,7.0,-72.11,70.87,1.61
391,waddan,36,LY,1551053162,72,29.16,16.14,43.46,15.03
392,basco,1,US,1551052500,62,40.33,-91.2,26.6,20.8
393,dunedin,0,NZ,1551052912,73,-45.87,170.5,53.86,5.41
394,sambava,64,MG,1551053163,100,-14.27,50.17,78.97,8.21
395,cayenne,92,GF,1551051000,78,4.94,-52.33,78.8,6.93
396,key west,1,US,1551051360,70,47.93,-96.78,-0.41,19.46
397,inhambane,88,MZ,1551053165,92,-23.87,35.38,78.65,6.64
398,bilibino,76,RU,1551053165,70,68.06,166.44,-11.8,3.18
399,oksfjord,75,NO,1551050400,93,70.24,22.35,35.6,12.75
400,quatre cocos,75,MU,1551049200,83,-20.21,57.76,80.6,4.7
401,naryan-mar,80,RU,1551053167,90,67.67,53.09,27.67,13.69
402,carai,20,BR,1551053167,44,-17.19,-41.69,84.64,7.65
403,bonthe,12,SL,1551053010,90,7.53,-12.5,79.06,4.74
404,noumea,90,NC,1551051000,88,-22.28,166.46,78.8,16.11
405,northport,1,US,1551048960,23,33.23,-87.58,62.6,6.93
406,la asuncion,88,EC,1551053168,96,-1.64,-78.74,48.5,2.62
407,uyemskiy,90,RU,1551051000,98,64.47,40.85,32.0,6.71
408,aksarka,32,RU,1551053169,68,66.56,67.8,1.43,2.62
409,tranas,8,SE,1551052200,93,58.04,14.98,37.4,5.82
410,beitbridge,0,ZA,1551053170,80,-22.21,29.99,77.44,11.68
411,penzance,20,GB,1551048600,100,50.12,-5.53,44.6,14.99
412,daitari,68,IN,1551053171,96,21.11,85.83,63.76,2.39
413,padang,80,ID,1551053125,100,-0.92,100.36,80.9,2.95
414,high level,5,CA,1551049200,59,58.52,-117.13,-0.41,5.82
415,saint anthony,90,US,1551048960,85,43.97,-111.68,33.8,14.99
416,kendari,12,ID,1551053172,96,-3.99,122.52,76.85,3.74
417,guiratinga,32,BR,1551053173,77,-16.35,-53.76,78.07,3.4
418,kintinku,0,TZ,1551053173,89,-5.89,35.22,61.69,1.95
419,samoded,100,RU,1551053174,96,63.61,40.52,32.53,6.53
420,pontianak,40,ID,1551051000,100,-0.02,109.34,73.4,5.41
421,tateyama,75,JP,1551049200,87,36.66,137.31,42.8,1.12
422,epiniana,44,GR,1551053175,85,39.14,21.61,25.78,4.74
423,teknaf,36,BD,1551053175,91,20.86,92.31,64.84,3.51
424,havoysund,75,NO,1551050400,93,71.0,24.66,35.6,12.75
425,nangan,24,PH,1551053154,100,6.47,126.12,78.61,8.21
426,san quintin,0,PH,1551053150,61,17.54,120.52,69.61,2.39
427,dali,0,CN,1551053050,100,25.6,100.24,40.09,3.06
428,pozo colorado,0,PY,1551053177,38,-23.49,-58.8,93.01,16.26
429,monte alegre,56,BR,1551053177,96,-2.0,-54.07,74.02,2.06
430,leh,8,IN,1551053154,56,34.16,77.58,-16.48,0.6
431,maitum,48,PH,1551053178,100,6.06,124.5,80.36,1.95
432,qarqin,0,AF,1551053179,90,37.41,66.03,34.73,1.16
433,mahibadhoo,8,MV,1551053179,100,3.78,72.97,82.12,10.67
434,egvekinot,56,RU,1551053179,77,66.32,-179.17,15.97,16.82
435,sao miguel do araguaia,0,BR,1551053174,89,-13.28,-50.16,78.11,3.51
436,tarakan,64,ID,1551053180,100,3.3,117.63,77.75,3.74
437,tamandare,0,BR,1551053181,74,-8.28,-70.75,80.32,5.75
438,virginia beach,1,US,1551052260,59,36.85,-75.98,66.2,16.11
439,batagay-alyta,64,RU,1551053182,38,67.8,130.41,-27.28,2.84
440,taoudenni,0,ML,1551053160,24,22.68,-3.98,55.21,10.22
441,puerto madryn,0,AR,1551052917,84,-42.77,-65.04,55.93,28.01
442,nuevo progreso,40,US,1551052380,42,26.05,-97.95,73.4,10.29
443,carauari,0,BR,1551052957,97,-4.88,-66.9,75.95,2.06
444,shido,0,JP,1551049200,86,34.32,134.17,41.0,4.7
445,nicoya,0,CR,1551049200,46,10.15,-85.45,89.6,23.04
446,dzaoudzi,36,YT,1551051000,88,-12.79,45.27,80.6,6.93
447,shizunai,88,JP,1551053185,85,42.33,142.37,35.54,3.85
448,fairbanks,1,US,1551049080,66,64.84,-147.72,19.4,1.39
449,kiskunmajsa,0,HU,1551050100,78,46.49,19.74,32.0,2.95
450,durban,0,FR,1551051000,80,43.54,0.58,44.6,5.82
451,robertsport,0,LR,1551053187,100,6.75,-11.37,81.98,8.77
452,bilma,0,NE,1551053187,28,18.69,12.92,49.76,5.08
453,pudozh,92,RU,1551053188,94,61.81,36.54,33.61,13.35
454,panzhihua,0,CN,1551053188,58,26.59,101.72,43.19,4.18
455,lagos,20,NG,1551049200,94,6.46,3.39,75.2,7.76
456,songkhla,20,TH,1551051000,94,7.2,100.6,75.2,11.68
457,san juan,40,PH,1551049200,73,14.6,121.03,77.0,4.7
458,cap malheureux,75,MU,1551049200,83,-19.98,57.61,80.6,4.7
459,alice springs,0,AU,1551051000,28,-23.7,133.88,86.0,8.05
460,buin,0,CL,1551049200,24,-33.73,-70.74,78.8,6.93
461,havelock,20,US,1551051300,93,34.88,-76.9,71.6,13.87
462,simi,90,US,1551051300,62,38.64,-122.87,55.4,8.05
463,pioner,0,TM,1551049200,74,38.89,63.79,37.4,4.7
464,praia,0,BR,1551049200,54,-20.25,-43.81,80.6,2.24
465,lodwar,56,KE,1551053193,68,3.12,35.6,73.88,2.06
466,arue,0,FR,1551051000,93,44.06,-0.35,41.0,1.12
467,warmbad,0,DE,1551050400,80,50.67,13.08,30.2,2.24
468,dicabisagan,12,PH,1551053194,100,17.08,122.42,73.84,3.51
469,vestmannaeyjar,12,IS,1551053147,92,63.44,-20.27,42.74,16.71
470,malumfashi,0,NG,1551052981,36,11.79,7.62,69.34,6.76
471,tiarei,75,PF,1551051000,70,-17.53,-149.33,87.8,9.17
472,constantine,75,DZ,1551051000,80,36.36,6.61,39.2,6.93
473,karpogory,88,RU,1551053196,92,64.0,44.44,30.86,7.43
474,amapa,40,HN,1551049200,70,15.09,-87.97,84.2,10.29
475,vardo,40,US,1551051600,42,39.62,-77.74,53.6,18.34
476,callaway,40,US,1551052380,77,46.98,-95.91,1.4,20.8
477,kemin,8,KG,1551053198,53,42.79,75.7,2.11,3.96
478,gravdal,90,NO,1551052200,100,59.79,5.78,37.4,11.41
479,karratha,0,AU,1551052951,51,-20.74,116.85,86.17,4.41
480,xining,88,CN,1551053199,88,36.62,101.77,14.48,1.61
481,pecos,1,US,1551051300,14,31.42,-103.49,66.2,20.8
482,sikasso,0,ML,1551053200,30,11.32,-5.68,66.91,8.99
483,rochegda,76,RU,1551053201,94,62.67,43.41,31.18,6.98
484,corinth,90,GR,1551050400,99,37.94,22.93,41.0,6.93
485,purwokerto,8,ID,1551053202,94,-7.43,109.24,73.7,1.39
486,vizinga,76,RU,1551053202,88,61.08,50.08,21.37,5.64
487,rocha,8,UY,1551053003,79,-34.48,-54.34,62.32,4.63
488,kuznetsk,48,RU,1551053204,83,53.11,46.6,10.57,6.76
489,yinchuan,48,CN,1551053204,71,38.48,106.21,16.19,2.95
490,juneau,40,US,1551052380,43,58.3,-134.42,35.6,4.7
491,seagoville,1,US,1551051300,35,32.64,-96.54,59.0,5.41
492,auki,0,NG,1551053205,55,12.18,6.51,64.25,2.95
493,port shepstone,80,ZA,1551053205,96,-30.74,30.45,72.94,7.2
494,huarmey,24,PE,1551053206,77,-10.07,-78.15,72.71,3.4
495,half moon bay,75,US,1551048960,58,37.46,-122.43,60.8,10.29
496,kahta,0,TR,1551050400,75,37.78,38.62,42.8,8.05
497,pundaguitan,24,PH,1551053207,100,6.37,126.17,78.61,8.21
498,ayorou,8,NE,1551053207,22,14.73,0.92,63.31,5.19
499,dongkan,0,CN,1551053208,76,34.0,119.83,31.54,2.95
500,tingo maria,90,PE,1551049200,83,-9.29,-76.01,75.2,2.24
501,zahirabad,0,IN,1551053209,60,17.68,77.61,63.44,1.95
502,dauriya,56,RU,1551053209,74,49.93,116.85,15.11,7.99
503,kuybysheve,0,UA,1551053209,75,47.36,36.65,15.29,8.99
504,beloha,0,MG,1551053210,90,-25.17,45.06,71.23,4.18
505,yagodnoye,36,RU,1551053210,60,62.52,149.63,-9.6,2.95
506,kenai,1,US,1551052380,62,60.55,-151.26,28.4,10.29
507,sampang,44,ID,1551053211,100,-7.54,109.46,78.83,4.29
508,changli,32,CN,1551053211,92,30.54,105.42,42.16,2.62
509,the valley,40,AI,1551049200,64,18.22,-63.06,77.0,10.29
510,opotiki,44,NZ,1551053212,100,-38.01,177.29,66.5,22.3
511,seoul,1,KR,1551052200,86,37.57,126.98,35.6,1.12
512,deer lake,5,CA,1551049200,65,49.18,-57.43,6.8,3.36
513,riyadh,0,SA,1551049200,63,24.63,46.72,60.8,5.82
514,beyneu,92,KZ,1551053214,93,45.32,55.19,28.25,7.31
515,colares,0,PT,1551051000,58,38.8,-9.45,59.0,3.36
516,tsaratanana,80,MG,1551053215,95,-16.8,47.65,68.93,2.62
517,aklavik,40,CA,1551049200,49,68.22,-135.01,23.0,3.36
518,fukue,20,JP,1551051000,76,35.03,136.69,50.0,9.17
519,kimbe,0,PG,1551053216,95,-5.56,150.15,83.6,3.18
520,halifax,90,CA,1551049200,73,44.65,-63.58,21.2,23.04
521,rosita,32,NI,1551053217,78,13.92,-84.4,75.59,4.07
522,sanwer,36,IN,1551053218,52,22.97,75.83,54.44,8.1
523,yar-sale,76,RU,1551053219,87,66.83,70.83,1.84,3.74
524,tommot,68,RU,1551053219,78,58.97,126.27,9.35,4.41
525,gat,0,SN,1551051000,46,14.69,-16.54,69.8,13.87
526,ocampo,0,PH,1551053220,93,13.56,123.37,75.82,6.2
527,cockburn town,0,TC,1551053080,96,21.46,-71.14,78.16,18.72
528,selyatino,90,RU,1551051000,94,55.52,36.98,32.0,17.9
529,balaipungut,44,ID,1551053223,94,1.11,101.31,73.48,1.5
530,brigantine,40,US,1551051060,93,39.41,-74.36,48.2,10.29
531,ponce,0,PR,1551053146,85,18.01,-66.61,75.95,12.46
532,tucumcari,1,US,1551048780,15,35.17,-103.73,57.2,18.34
533,vanimo,8,PG,1551053224,100,-2.67,141.3,81.89,4.74
534,shakawe,0,BW,1551053225,53,-18.36,21.84,71.54,3.62
535,gushi,76,CN,1551053226,82,32.17,115.65,35.32,2.73
536,hailar,32,CN,1551053226,72,49.2,119.7,8.99,10.56
537,lentekhi,88,GE,1551053227,100,42.79,42.72,33.34,1.83
538,sisimiut,68,GL,1551052939,81,66.94,-53.67,-2.85,1.61
539,vieste,0,IT,1551053207,100,41.88,16.18,49.54,15.7
540,karaton,75,ID,1551051000,88,-6.34,106.1,78.8,2.24
541,cochrane,12,CL,1551053228,61,-47.25,-72.57,40.94,3.18
542,manadhoo,8,MV,1551053229,100,5.77,73.38,81.94,5.97
543,atar,0,MR,1551053229,20,20.52,-13.05,60.52,8.21
544,monrovia,20,LR,1551049200,94,6.33,-10.8,78.8,6.98
545,oyama,75,JP,1551051780,75,36.31,139.8,48.2,4.63
546,bhander,0,IN,1551053231,84,25.74,78.75,51.38,2.84
547,marfino,90,RU,1551051000,97,56.07,37.56,33.8,20.13
548,salym,68,RU,1551053232,77,60.06,71.48,17.41,8.77
549,maniitsoq,64,GL,1551053232,81,65.42,-52.9,9.26,7.99
550,bol,36,TD,1551053233,25,13.47,14.72,69.61,8.43
551,wajid,0,SO,1551053233,44,3.81,43.25,73.84,11.01
552,port macquarie,90,AU,1551049200,93,-31.43,152.91,69.8,5.82
553,bathsheba,40,BB,1551049200,73,13.22,-59.52,77.0,20.8
554,yumen,0,CN,1551053234,61,40.29,97.04,8.14,3.51
555,yeniseysk,80,RU,1551053234,81,58.45,92.17,22.4,7.54
556,dolzhanskaya,0,RU,1551053235,100,46.63,37.8,24.65,6.87
557,lang son,92,VN,1551053236,98,21.83,106.73,54.08,3.85
558,berlevag,75,NO,1551048600,80,70.86,29.09,39.2,25.28
559,hami,0,CN,1551053237,62,42.84,93.51,16.24,7.65
560,skibbereen,75,IE,1551051000,100,51.55,-9.27,46.4,13.87
561,deniliquin,20,AU,1551053238,39,-35.53,144.96,76.76,11.79
